DAYS,RATE,GP
1,2.3,2.3
2,3,5.3
3,3.2,8.5
4,3,11.5
5,3.2,14.7
6,4.2,18.9
7,4.3,23.2
8,4.3,27.5
9,4.3,31.8
10,4.3,36.1
11,5.1,41.2
12,5.5,46.7
13,5.3,52
14,6,58
15,5.9,63.9
16,6,69.9
17,5.8,75.8
18,5.7,81.4
19,5.6,87
20,5.5,92.5
21,5.4,97.9
22,5.2,103.1
23,5.1,108.2
24,5,113.2
25,4.9,118.2
26,4.8,123
27,4.7,127.7
28,4.7,132.4
29,4.7,137.1
30,4.6,141.7
31,4.5,146.2
32,3.9,150.1
33,3.6,153.7
34,3.5,157.2
35,3.5,160.7
36,3.4,164.1
37,3.4,167.5
38,3.3,170.8
39,3.3,174.1
40,3.3,177.5
41,3.3,180.8
42,3.3,184.1
43,3.2,187.3
44,3.2,190.5
45,3.2,193.7
46,3.2,196.8
47,3.1,200
48,3.1,203.1
49,3.1,206.1
50,3,209.2
51,3,212.2
52,3,215.2
53,2.9,218.1
54,2.9,221
55,2.9,223.9
56,2.8,226.8
57,2.8,229.6
58,2.8,232.4
59,2.8,235.2
60,2.8,238
61,2.8,240.8
62,2.7,243.5
63,2.7,246.2
64,2.7,248.9
65,2.6,251.5
66,3,254.6
67,3.1,257.7
68,3.1,260.8
69,3,263.8
70,2.9,266.7
71,2.9,269.6
72,2.8,272.4
73,2.8,275.2
74,2.7,278
75,2.7,280.7
76,2.7,283.4
77,2.7,286.1
78,2.6,288.7
79,2.6,291.3
80,2.6,293.9
81,2.5,296.4
82,2.5,298.9
83,2.5,301.4
84,2.4,303.9
85,2.4,306.3
86,2.4,308.7
87,2.4,311
88,2.3,313.4
89,2.3,315.7
90,2.3,318
91,2.3,320.3
92,2.3,322.6
93,2.2,324.8
94,2.2,327
95,2.2,329.3
96,2.2,331.5
97,2.2,333.6
98,2.2,335.8
99,2.1,337.9
100,2.1,340.1
101,2.1,342.2
102,2.1,344.3
103,2.1,346.3
104,2.1,348.4
105,2.1,350.5
106,2,352.5
107,2,354.5
108,2,356.5
109,2,358.5
110,1.9,360.4
111,1.8923,362.3
